id,label,text,prediction,n_models_error,models_with_error
1,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
8,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,spam,3,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-4o-mini']"
55,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,ham,3,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-5-mini']"
67,ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
268,ham,"Come to mu, we're sorting out our narcotics situation",spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
404,ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
832,ham,"I am real, baby! I want to bring out your inner tigress...",spam,3,"['gpt-3.5-turbo-0125', 'gpt-4o-mini', 'gpt-4.1']"
907,ham,K:)i will give my kvb acc details:),spam,3,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-4o-mini']"
951,ham,what is your account number?,spam,3,"['gpt-5-nano', 'gpt-5', 'gpt-4o-mini']"
956,ham,Hey you can pay. With salary de. Only <#> .,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
1196,ham,I want to send something that can sell fast. <#> k is not easy money.,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
1408,ham,"That's good, because I need drugs",spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
1535,ham,There are no other charges after transfer charges and you can withdraw anyhow you like,spam,3,"['gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini']"
1663,ham,"As in missionary hook up, doggy hook up, standing...|",spam,3,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-4o-mini']"
1787,ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
1991,ham,Who's there say hi to our drugdealer,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
2117,ham,soon you will have the real thing princess! Do i make you wet? :),spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']"
2169,ham,Here got lots of hair dresser fr china.,spam,3,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-4o-mini']"
2269,ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8",spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
2283,ham,Your pussy is perfect!,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']"
2530,ham,"Hi, can i please get a <#> dollar loan from you. I.ll pay you back by mid february. Pls.",spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
2543,spam,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",ham,3,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-5']"
2593,ham,Cool. I am <#> inches long. hope you like them big!,spam,3,"['gpt-3.5-turbo-0125', 'gpt-4o-mini', 'gpt-4.1']"
